# Clean Data Output
#   v         w         x         y         z     
9.967e+01 9.622e+00 9.164e+01 9.670e+01 9.670e+01
1.119e+01 1.589e+01 1.651e+01 7.469e+01 7.469e+01
8.971e+01 1.754e+01 1.916e+00 3.842e+01 3.842e+01
1.955e+01 1.310e+01 1.463e+01 8.513e+01 8.513e+01
1.903e+01 8.186e+01 1.953e+01 3.514e-01 3.514e-01
4.307e+01 4.281e+00 8.827e+01 4.391e+01 4.391e+01
1.204e+01 7.347e+01 4.347e+01 2.821e+01 2.821e+01
4.678e+01 3.951e+01 8.347e+01 1.281e+01 1.281e+01
6.190e+01 5.294e+01 4.388e+01 6.849e+01 6.849e+01
5.061e+01 4.610e+00 9.931e+01 6.768e+01 6.768e+01
4.692e+01 5.130e+01 1.068e+01 1.461e+01 1.461e+01
3.409e+01 6.948e+01 7.941e+01 6.260e+01 6.260e+01
3.437e+01 5.993e+01 1.085e+01 6.571e+01 6.571e+01
2.319e+01 7.185e+01 7.663e+01 3.015e+01 3.015e+01
8.604e+00 7.384e+01 5.367e+01 9.799e+01 9.799e+01
9.662e+01 3.126e+01 7.406e+00 2.842e+01 2.842e+01
9.135e+01 2.040e+01 1.284e+01 2.204e+01 2.204e+01
2.650e+01 7.099e+01 5.442e+01 7.253e+01 7.253e+01
3.396e+00 3.662e+01 5.791e+01 2.218e+01 2.218e+01
5.285e+01 3.783e+01 9.049e+01 5.260e+00 5.260e+00
5.581e+01 9.781e+01 6.968e+00 1.939e+01 1.939e+01
3.485e+01 7.608e+01 2.865e+01 8.346e+01 8.346e+01
8.179e+01 3.370e+01 1.997e+01 3.043e+01 3.043e+01
7.887e+01 9.513e+01 7.473e+01 7.737e+01 7.737e+01
8.047e+01 3.664e+01 8.485e+01 9.907e+01 9.907e+01
9.889e+01 7.491e+01 4.019e+01 8.351e+01 8.351e+01
4.778e+01 8.892e+01 1.471e+01 4.499e+01 4.499e+01
3.163e+01 3.132e+01 4.674e+01 9.873e+01 9.873e+01
6.136e+01 7.322e+01 2.003e+00 5.334e+01 5.334e+01
8.625e+01 9.705e+01 6.934e+01 6.261e+00 6.261e+00
9.879e+01 2.407e+00 3.882e+01 4.598e+01 4.598e+01
5.273e+01 5.207e+01 1.861e+01 8.240e+01 8.240e+01
1.620e+01 4.118e+01 4.472e+01 6.312e+01 6.312e+01
9.359e+01 1.896e+01 8.610e+01 5.549e+01 5.549e+01
6.074e+01 1.482e+01 9.854e+01 8.119e+01 8.119e+01
5.571e+01 5.615e+01 2.344e+00 4.957e+01 4.957e+01
2.205e+01 4.539e+01 1.491e+01 4.015e+01 4.015e+01
6.210e+01 9.290e+01 6.903e+01 6.701e-01 6.701e-01
7.017e+01 5.354e+01 7.436e+01 6.551e+01 6.551e+01
7.027e+01 2.851e+01 6.312e+01 3.735e+01 3.735e+01
5.919e+01 3.134e+01 9.882e+01 4.491e+01 4.491e+01
3.059e+01 1.331e+00 2.441e+01 8.460e+01 8.460e+01
8.463e+01 8.311e+01 6.292e+01 5.899e+01 5.899e+01
6.510e+00 6.348e+01 4.219e+01 5.703e+01 5.703e+01
5.879e+01 4.110e+01 4.991e+01 3.511e+01 3.511e+01
9.670e+01 5.349e+01 1.414e+01 6.864e+01 6.864e+01
5.993e+01 7.918e+00 7.556e+01 7.754e+01 7.754e+01
1.751e+01 3.830e+00 8.725e+01 2.170e+01 2.170e+01
2.366e+01 7.912e+01 4.401e+01 3.205e+00 3.205e+00
4.462e+00 4.113e+01 5.747e+01 6.566e+01 6.566e+01
2.395e+01 2.988e+01 4.449e+01 2.033e+01 2.033e+01
3.006e+01 3.340e+01 7.998e+01 7.943e+01 7.943e+01
2.219e+01 7.791e+01 9.747e+01 9.128e+01 9.128e+01
1.997e+01 8.459e+01 7.765e+01 2.063e+00 2.063e+00
8.046e+01 1.807e+01 6.211e+01 7.065e+01 7.065e+01
3.584e+01 5.550e+01 6.040e+01 3.247e+00 3.247e+00
8.986e+01 2.294e+01 9.573e+01 8.409e+01 8.409e+01
5.828e+01 9.900e+01 6.938e+01 3.313e+00 3.313e+00
5.273e+01 6.017e+01 5.817e+01 4.637e+01 4.637e+01
5.105e+01 6.436e+01 6.727e+01 7.981e+00 7.981e+00
6.607e+01 3.779e+01 4.167e+00 5.912e+01 5.912e+01
9.520e+01 9.800e+01 6.850e+01 9.661e+01 9.661e+01
3.340e+01 5.883e+01 7.985e+01 3.754e+00 3.754e+00
3.310e+01 5.587e+01 5.404e+01 3.728e+01 3.728e+01
4.153e+01 8.048e+01 6.152e+00 3.950e+01 3.950e+01
1.313e+01 6.165e+00 8.041e+00 2.042e+01 2.042e+01
9.939e+01 7.869e+01 7.947e+01 6.330e+01 6.330e+01
7.146e+01 3.188e+01 2.168e+01 9.280e+01 9.280e+01
3.778e+01 1.137e+01 5.903e+01 8.135e+01 8.135e+01
2.275e+01 8.290e+01 3.821e+01 4.274e+01 4.274e+01
5.034e+01 4.596e+01 9.256e+01 3.881e+01 3.881e+01
9.954e+01 9.123e+01 4.478e+00 3.832e+01 3.832e+01
8.880e+01 5.362e+00 3.393e+01 5.957e+01 5.957e+01
4.132e+01 7.701e+01 9.710e+01 1.794e+01 1.794e+01
1.375e+01 8.120e+01 8.471e+00 1.938e+01 1.938e+01
8.375e+01 4.637e+01 5.956e+01 1.743e+01 1.743e+01
9.698e+01 7.774e+01 5.056e+01 4.747e+01 4.747e+01
5.190e+01 1.113e+01 6.688e+01 5.564e+01 5.564e+01
8.612e+01 2.872e+01 7.147e+01 3.811e+01 3.811e+01
2.660e+01 3.937e+01 7.545e+01 5.806e+00 5.806e+00
3.826e+01 1.228e+01 1.573e+00 3.585e+01 3.585e+01
9.046e+01 6.444e+01 6.138e+01 9.160e+01 9.160e+01
6.576e+01 1.444e+01 3.952e+01 7.005e+01 7.005e+01
2.915e+01 3.957e+01 4.070e+00 4.067e+01 4.067e+01
8.176e+00 5.930e+01 8.767e+01 8.206e+01 8.206e+01
1.232e+01 2.843e+01 6.587e+01 9.899e+01 9.899e+01
4.066e+01 9.766e+01 3.431e+01 5.719e+01 5.719e+01
1.681e+01 3.421e+00 4.405e+01 2.121e+01 2.121e+01
3.275e+01 4.981e+00 9.116e+00 7.516e+01 7.516e+01
1.925e+01 5.585e+01 5.513e+01 6.552e+01 6.552e+01
2.591e+01 7.756e+01 8.607e+01 4.992e+01 4.992e+01
9.630e+00 6.278e+01 5.052e+01 5.995e+01 5.995e+01
7.213e+00 3.044e+01 7.155e+01 1.080e+01 1.080e+01
8.911e+01 7.921e+01 4.835e+01 9.236e+01 9.236e+01
7.924e+01 2.651e+01 5.278e-01 1.764e+01 1.764e+01
5.953e+01 4.752e+01 5.992e+01 9.395e+01 9.395e+01
6.500e+01 3.334e+01 8.607e+01 6.567e+01 6.567e+01
6.581e+00 2.009e+01 7.162e+01 3.841e+01 3.841e+01
8.960e+01 9.918e+01 4.694e+01 8.126e+01 8.126e+01
1.558e+01 9.870e+01 9.704e+01 3.933e+01 3.933e+01
